Player,Minutes,Points
DeMar Derozan,2988.6,1897
Domantas Sabonis,2928,1593
Coby White,2881.4,1509
Mikal Bridges,2854.2,1606
Paolo Banchero,2798.7,1804
Kevin Durant,2790.6,2032
Dejounte Murray,2783.3,1753
Anthony Edwards,2770.4,2049
Nikola Jokic,2736.5,2085
Jalen Brunson,2726.3,2212
Josh Hart,2706.8,761
Anthony Davis,2700.2,1876
Fred VanVleet,2684.4,1270
De'Aaron Fox,2658.8,1966
Paskal Siakam,2657.9,1737
Jayson Tatum,2645.2,1987
Austin Reaves,2628.9,1300
Tyrese Maxey,2625.8,1816
Luka Doncic,2624,2370
Nikola Vucevic,2609.5,1370
Jalen Green,2601.4,1610
Rudy Gobert,2593.1,1061
Keegan Murray,2588.6,1172
Miles Bridges,2581.1,1449
Damian Lillard,2578.4,1775
Giannis Antetokounmpo,2567.2,2222
Michael Porter Jr.,2564.6,1356
Shai Gilgeous-Alexander,2552.7,2254
Grayson Allen,2513.3,1014
LeBron James,2503.7,1822
