Player,Minutes,Points,Points_Per_Minute
DeMar Derozan,2988.6,1897,0.634745365723081
Domantas Sabonis,2928.0,1593,0.5440573770491803
Coby White,2881.4,1509,0.5237037551190393
Mikal Bridges,2854.2,1606,0.5626795599467452
Paolo Banchero,2798.7,1804,0.6445849858863044
Kevin Durant,2790.6,2032,0.7281588188919946
Dejounte Murray,2783.3,1753,0.6298279021305644
Anthony Edwards,2770.4,2049,0.7396043892578689
Nikola Jokic,2736.5,2085,0.7619221633473415
Jalen Brunson,2726.3,2212,0.8113560503246158
Josh Hart,2706.8,761,0.2811437860203931
Anthony Davis,2700.2,1876,0.6947633508628991
Fred VanVleet,2684.4,1270,0.47310385933541943
De'Aaron Fox,2658.8,1966,0.7394313224010831
Paskal Siakam,2657.9,1737,0.6535234583693893
Jayson Tatum,2645.2,1987,0.7511719340692575
Austin Reaves,2628.9,1300,0.4945034044657461
Tyrese Maxey,2625.8,1816,0.6915987508568817
Luka Doncic,2624.0,2370,0.9032012195121951
Nikola Vucevic,2609.5,1370,0.5250047901896915
Jalen Green,2601.4,1610,0.6188975167217652
Rudy Gobert,2593.1,1061,0.4091627781419922
Keegan Murray,2588.6,1172,0.4527543846094414
Miles Bridges,2581.1,1449,0.5613885552671342
Damian Lillard,2578.4,1775,0.6884114179336022
Giannis Antetokounmpo,2567.2,2222,0.865534434403241
Michael Porter Jr.,2564.6,1356,0.5287374249395618
Shai Gilgeous-Alexander,2552.7,2254,0.8829866415951738
Grayson Allen,2513.3,1014,0.40345362670592444
LeBron James,2503.7,1822,0.7277229700043936
